onset,offset,cluster
0.3958837772397095,0.448547215496368,syll_1
0.4703389830508475,0.5556900726392252,syll_3
0.5835351089588379,0.6325665859564166,syll_2
0.672,0.776,syll_5
0.776,0.824,syll_0
0.8311138014527847,0.959443099273608,syll_4
2.536,2.592,syll_1
2.6161933262711865,2.6952906073446328,syll_3
2.724,2.776,syll_2
2.805865377824859,2.9075618820621467,syll_5
2.912,2.96,syll_0
2.968,3.096,syll_4
5.248,5.304,syll_1
5.328068855932203,5.402323446327683,syll_3
5.427344014830508,5.474963806497176,syll_2
5.516,5.62,syll_5
5.62867126178295,5.660412645939918,syll_0
5.676,5.804,syll_4
7.32,7.376,syll_1
7.398287870762712,7.478192266949152,syll_3
7.508,7.56,syll_2
7.592,7.696,syll_5
7.70467126178295,7.744,syll_0
7.752,7.88,syll_4
